,accuracy,circuit_cost,classical_optimizer,data_dimension,dataset_name,entanglement,eval_time,feature_map,fm_reps,test_size,train_size,validation_size,var_reps,variational_form
0,0.56,18,COBYLA,2,4-9,full,12.653111999999993,Z-reps=1-ent=full,1,10,20,100,1,RealAmplitudes-reps=1-ent=full
1,0.5375,18,COBYLA,2,4-9,full,10.563235999999991,Z-reps=1-ent=full,1,10,20,1000,1,RealAmplitudes-reps=1-ent=full
2,0.5115,42,COBYLA,2,4-9,full,20.886907000000008,Z-reps=1-ent=full,1,10,20,1000,3,RealAmplitudes-reps=3-ent=full
3,0.4255,26,COBYLA,2,4-9,full,13.477886999999981,Z-reps=3-ent=full,3,10,20,1000,1,RealAmplitudes-reps=1-ent=full
4,0.5835,50,COBYLA,2,4-9,full,28.49919599999999,Z-reps=3-ent=full,3,10,20,1000,3,RealAmplitudes-reps=3-ent=full
5,0.5429999999999999,22,COBYLA,2,4-9,full,20.64922999999999,Z-reps=1-ent=full,1,10,20,1000,1,EfficientSU2-reps=1-ent=full
6,0.529,50,COBYLA,2,4-9,full,53.15939799999995,Z-reps=1-ent=full,1,10,20,1000,3,EfficientSU2-reps=3-ent=full
7,0.589,30,COBYLA,2,4-9,full,25.82230900000002,Z-reps=3-ent=full,3,10,20,1000,1,EfficientSU2-reps=1-ent=full
8,0.596,58,COBYLA,2,4-9,full,52.57310200000001,Z-reps=3-ent=full,3,10,20,1000,3,EfficientSU2-reps=3-ent=full
9,0.552,39,COBYLA,2,4-9,full,11.670612000000006,ZZ-reps=1-ent=full,1,10,20,1000,1,RealAmplitudes-reps=1-ent=full
10,0.5725,63,COBYLA,2,4-9,full,21.508188999999962,ZZ-reps=1-ent=full,1,10,20,1000,3,RealAmplitudes-reps=3-ent=full
11,0.56,89,COBYLA,2,4-9,full,13.867976999999994,ZZ-reps=3-ent=full,3,10,20,1000,1,RealAmplitudes-reps=1-ent=full
12,0.537,113,COBYLA,2,4-9,full,22.132241999999906,ZZ-reps=3-ent=full,3,10,20,1000,3,RealAmplitudes-reps=3-ent=full
13,0.6365,43,COBYLA,2,4-9,full,27.629079000000054,ZZ-reps=1-ent=full,1,10,20,1000,1,EfficientSU2-reps=1-ent=full
14,0.6385,71,COBYLA,2,4-9,full,71.89026799999998,ZZ-reps=1-ent=full,1,10,20,1000,3,EfficientSU2-reps=3-ent=full
15,0.5795,93,COBYLA,2,4-9,full,30.65348800000004,ZZ-reps=3-ent=full,3,10,20,1000,1,EfficientSU2-reps=1-ent=full
16,0.6185,121,COBYLA,2,4-9,full,85.648911,ZZ-reps=3-ent=full,3,10,20,1000,3,EfficientSU2-reps=3-ent=full
17,0.54,43,COBYLA,2,4-9,full,12.12591000000009,Pauli-reps=1-ent=full,1,10,20,1000,1,RealAmplitudes-reps=1-ent=full
18,0.5725,67,COBYLA,2,4-9,full,20.915239999999926,Pauli-reps=1-ent=full,1,10,20,1000,3,RealAmplitudes-reps=3-ent=full
19,0.5725,101,COBYLA,2,4-9,full,12.432739999999967,Pauli-reps=3-ent=full,3,10,20,1000,1,RealAmplitudes-reps=1-ent=full
20,0.5539999999999999,125,COBYLA,2,4-9,full,23.47676400000001,Pauli-reps=3-ent=full,3,10,20,1000,3,RealAmplitudes-reps=3-ent=full
21,0.622,47,COBYLA,2,4-9,full,29.1833479999998,Pauli-reps=1-ent=full,1,10,20,1000,1,EfficientSU2-reps=1-ent=full
22,0.5965,75,COBYLA,2,4-9,full,63.21808800000008,Pauli-reps=1-ent=full,1,10,20,1000,3,EfficientSU2-reps=3-ent=full
23,0.633,105,COBYLA,2,4-9,full,30.355591000000004,Pauli-reps=3-ent=full,3,10,20,1000,1,EfficientSU2-reps=1-ent=full
24,0.624,133,COBYLA,2,4-9,full,63.215253000000075,Pauli-reps=3-ent=full,3,10,20,1000,3,EfficientSU2-reps=3-ent=full
25,0.546,18,COBYLA,2,4-9,full,18.52350700000011,Z-reps=1-ent=full,1,10,40,1000,1,RealAmplitudes-reps=1-ent=full
26,0.512,42,COBYLA,2,4-9,full,34.78490499999998,Z-reps=1-ent=full,1,10,40,1000,3,RealAmplitudes-reps=3-ent=full
27,0.542,26,COBYLA,2,4-9,full,14.204183000000056,Z-reps=3-ent=full,3,10,40,1000,1,RealAmplitudes-reps=1-ent=full
28,0.595,50,COBYLA,2,4-9,full,42.513273000000034,Z-reps=3-ent=full,3,10,40,1000,3,RealAmplitudes-reps=3-ent=full
29,0.564,22,COBYLA,2,4-9,full,49.21257700000001,Z-reps=1-ent=full,1,10,40,1000,1,EfficientSU2-reps=1-ent=full
30,0.57,50,COBYLA,2,4-9,full,87.73707399999991,Z-reps=1-ent=full,1,10,40,1000,3,EfficientSU2-reps=3-ent=full
31,0.5995,30,COBYLA,2,4-9,full,49.47946000000002,Z-reps=3-ent=full,3,10,40,1000,1,EfficientSU2-reps=1-ent=full
32,0.6155,58,COBYLA,2,4-9,full,107.87694399999987,Z-reps=3-ent=full,3,10,40,1000,3,EfficientSU2-reps=3-ent=full
33,0.53,39,COBYLA,2,4-9,full,42.46040199999993,ZZ-reps=1-ent=full,1,10,40,1000,1,RealAmplitudes-reps=1-ent=full
34,0.564,63,COBYLA,2,4-9,full,59.081415000000106,ZZ-reps=1-ent=full,1,10,40,1000,3,RealAmplitudes-reps=3-ent=full
35,0.4895,89,COBYLA,2,4-9,full,65.62951700000008,ZZ-reps=3-ent=full,3,10,40,1000,1,RealAmplitudes-reps=1-ent=full
